rank,reward,equations,equations_with_constants
3635,0.8385584606109054,B0*i*s ; B1*r + 2*i*r - r**2,0.298485491496524*i*s ; 2*i*r - r**2 + 42.2678044627379*r
3636,0.8385584604401298,B0*i*s ; B1*i*r**2 - i*r**3,0.298513452884869*i*s ; -i*r**3 + 0.0388478304337152*i*r**2
3637,0.838536256762981,-i + sqrt(Abs(B0*i**2 + B1*i)) ; B2 + B3*r,-i + sqrt(Abs(3.60166737679723*i**2 + 0.0207754004722342*i)) ; 0.0457905404032283 - 0.0323630603523483*r
3638,0.8385266579866908,B0 + B1*i**2 + B2*i**2*s ; r,0.344302097561343*i**2*s - 0.0353211306809419*i**2 + 0.0259873081472871 ; r
3639,0.8385220774088595,B0*i + B1*i**2*s ; sqrt(Abs(r)),-1.39008438501539*i**2*s + 0.350787498814118*i ; sqrt(Abs(r))
3640,0.8385217636975244,B0*i + B1*i**2*s ; B2*sqrt(Abs(r)),-1.39496384522271*i**2*s + 0.351997731564925*i ; 0.000710356940937042*sqrt(Abs(r))
3641,0.838521756991924,B0*i + B1*i**2*s ; r,-1.39497684351251*i**2*s + 0.35200794486648*i ; r
3642,0.8384847333550679,B0*i - i*sqrt(Abs(i - s)) ; B1 + i - r,-i*sqrt(Abs(i - s)) - 0.366931065441838*i ; i - r - 0.00706106413425872
3643,0.838482350573463,B0 + B1*i ; sqrt(Abs(B2 - i + sqrt(Abs(i))*sqrt(Abs(r)))),0.000314207375614475*i + 0.0404577940822498 ; sqrt(Abs(-i + sqrt(Abs(i))*sqrt(Abs(r)) + 0.0201362885367702))
3644,0.8384777962726829,B0*i*s**2 + B1*i**2*s ; sqrt(2)*i + r,-0.00367824917346479*i**2*s - 0.412775662753812*i*s**2 ; sqrt(2)*i + r
3645,0.8384695579221763,B0 + i ; B1*i + i**2 + i*r,i + 0.00249089892453794 ; i**2 + i*r + 0.815920318065426*i
