rank,reward,equations,equations_with_constants
1242,0.8751655608948566,B0*i**2 ; B1 - i**2 - r,0.0892711473595044*i**2 ; -i**2 - r + 1.28062386068545
1243,0.8751118633395796,B0*i + B1*s ; B2*i - r,0.00152653099732508*i + 0.0443651204950206*s ; 8.71992049079833*i - r
1244,0.8750550307221158,B0*i*s ; B1 - i*r - 2*i,0.0287145323909622*i*s ; -i*r - 2*i + 0.0296965239708547
1245,0.8749691819399649,B1*sqrt(Abs(B0 + sqrt(Abs(s)))) ; B2 + B3*i - r,0.0372659845417031*sqrt(Abs(sqrt(Abs(s)) - 0.29175567871348)) ; 0.0339737531936477*i - r + 0.00977951125737829
1246,0.8749409351838745,B1*sqrt(Abs(B0 + sqrt(Abs(s)))) ; B2 - 2*r,0.0373036337377959*sqrt(Abs(sqrt(Abs(s)) - 0.286473770478386)) ; 0.00585954907108556 - 2*r
1247,0.8749394570675598,B0*i + B1*s ; sqrt(Abs(B2 - i + Abs(i)**(3/2))),-0.000206468510398479*i + 0.0458116649460094*s ; sqrt(Abs(-i + Abs(i)**(3/2) + 0.0104426679109834))
1248,0.8749060466617423,B1*sqrt(Abs(B0 + sqrt(Abs(s)))) ; i*Abs(r)**(1/4),0.0365608242430826*sqrt(Abs(sqrt(Abs(s)) - 0.284530297552485)) ; i*Abs(r)**(1/4)
1249,0.8749055348085687,B0*i + B1*s ; i - r,0.0118689203314789*i + 0.0446127426042949*s ; i - r
1250,0.8749043510102523,B0 + B1*s ; B2 + 2*i + r,0.0389493674839043*s + 0.00587906605766436 ; 2*i + r + 2.04867188114648
1251,0.8749043508976628,B0 + B1*s ; B2 + B3*r + i,0.0389467959634225*s + 0.00587920524741795 ; i + 0.000682220142108809*r + 0.000307972358756697
1252,0.8749043508882559,B0 + B1*s ; sqrt(Abs(B2 + i - sqrt(Abs(r)))),0.0389472061720813*s + 0.00587811712788573 ; sqrt(Abs(i - sqrt(Abs(r)) + 0.00272207094535586))
1253,0.8749043508632677,B0 + B1*s ; sqrt(Abs(B2 + sqrt(Abs(B3 + i)))),0.0389467405701904*s + 0.00588062867572044 ; sqrt(sqrt(Abs(i + 85.9084781709783)) + 0.000328001733201218)
1254,0.8749043506655342,B0 + B1*s ; B2 + B3*Abs(i)**(1/4),0.0389487884842891*s + 0.00588216277739516 ; 0.000112483881092423*Abs(i)**(1/4) + 1.95283562800927
1255,0.8749043505934792,B0 + B1*s ; B2 + B3*i + r,0.0389546763817141*s + 0.00587774778427209 ; 0.554144098916166*i + r + 0.000216308319522506
1256,0.8749043502039712,B0 + B1*s ; B2 + 2*i - r,0.0389475176749631*s + 0.00588434106744166 ; 2*i - r + 0.326088831548316
1257,0.8749043502009224,B0 + B1*s ; Abs(B2 + Abs(i)**(1/4))**(1/4),2.72467673882986*s + 0.410901921866329 ; (Abs(i)**(1/4) + 0.00459021060502064)**(1/4)
1258,0.8749043499915863,B0 + B1*s ; B2 + i + 2*r,0.038942458186581*s + 0.00587829643021623 ; i + 2*r + 0.000590168879835442
1259,0.8749043499080799,B0 + B1*s ; sqrt(Abs(B2 - r + sqrt(Abs(i)))),0.0389409601311554*s + 0.00588152928747893 ; sqrt(Abs(-r + sqrt(Abs(i)) + 0.000781871333728739))
1260,0.8749043498161257,B0 + B1*s ; B2 + B3*Abs(r)**(3/2),0.0389462930006027*s + 0.00587373613176846 ; 0.0322455697340169*Abs(r)**(3/2) + 0.00579188332032758
1261,0.8749043497984408,B0 + B1*s ; B2 - 3*r,0.0389496430872291*s + 0.00587180921210128 ; 15.9176447018532 - 3*r
1262,0.8749043496620641,B0 + B1*s ; B2*r - r**2,0.0389592859736364*s + 0.00587340206634901 ; -r**2 + 0.485800490269714*r
