rank,reward,equations,equations_with_constants
1915,0.19229485950512795,B0*s ; B1 - r,-0.00370029953614903*s ; -r - 0.267030608545687
1916,0.19219668022118602,B0 + B1*i + B1*s ; -r + sqrt(Abs(B2 + r)),0.713355951469177*i + 0.713355951469177*s + 0.271001827837813 ; -r + sqrt(Abs(r + 0.535028748482446))
1917,0.19191809193869708,B0 + sqrt(Abs(s)) ; B1*i*r + B1*i + B2*r**2,sqrt(Abs(s)) - 0.833862141789735 ; 0.0174289384580909*i*r + 0.0174289384580909*i + 0.0499515776786316*r**2
1918,0.19180381766871685,B0*s + s**2 ; B1 + B2*sqrt(Abs(i)),s**2 - 0.705216540349236*s ; 0.00508797016317239 - 0.00224179732011304*sqrt(Abs(i))
1919,0.19174469339465122,B0*s - i*s - i ; B1 + B2*i**2 + i**3,-i*s - i + 0.95278287676739*s ; i**3 - 0.308403234490694*i**2 + 0.0125037616142585
1920,0.19173147717529468,B0*sqrt(Abs(i)) + B1*i ; i**2 + Abs(i)**(3/2)*Abs(r)**(1/4),1.00877761567183*i - 0.130912628435267*sqrt(Abs(i)) ; i**2 + Abs(i)**(3/2)*Abs(r)**(1/4)
1921,0.1916130315898874,s ; B0 + B1*i + B2*r + i*r,s ; i*r + 0.985469887768903*i - 1.39575874642764*r + 0.789557093973965
1922,0.19125714287119688,B0*s + s**2 ; B1 + B2*r**2,s**2 - 0.698896612824476*s ; 0.000273682695600917*r**2 + 0.00431432740904443
1923,0.19123435224237578,B0*s + B0*sqrt(Abs(B1 - i)) ; B2*r + B2*sqrt(Abs(i)),0.0195028626233573*s + 0.0195028626233573*sqrt(Abs(i - 0.233957137034766)) ; 0.0176488589339735*r + 0.0176488589339735*sqrt(Abs(i))
1924,0.19122781854588825,B0*i*s + i**2*s - i*s**2 + s**2 ; B1 + B2*i + B2*r,i**2*s - i*s**2 + 7.55375441773215*i*s + s**2 ; -0.812277997146983*i - 0.812277997146983*r + 0.817021515201977
1925,0.19060877004825583,B0*i**2 + i**2*s ; B1*i - i*r,i**2*s - 1.49995148447149*i**2 ; -i*r - 0.447578621540251*i
1926,0.19038690769734978,B0 + B1*sqrt(Abs(i)) ; B2*i + B2*r + B3*i**2,0.133769496595186 - 0.259668803705237*sqrt(Abs(i)) ; -0.0428574007829562*i**2 + 0.0403578844971651*i + 0.0403578844971651*r
1927,0.1901964813671716,B0 + B1*s ; B2*r + i,0.277712085364125 - 0.00759264185940637*s ; i + 0.0188057418035823*r
1928,0.1901696350370127,B0*s - i ; B1 + B2*r,-i - 0.0181824786440652*s ; 0.00770742381271493*r - 0.287877663030852
1929,0.18990881342025792,B0 - i*sqrt(Abs(i - s**2)) ; B1*i + i**2,-i*sqrt(Abs(i - s**2)) + 0.143728193559335 ; i**2 + 0.0962978188542409*i
1930,0.18978083608961296,s ; B0 + B1*r + B1*sqrt(Abs(i)),s ; -0.713942911586931*r - 0.713942911586931*sqrt(Abs(i)) + 0.89404350667304
1931,0.18965297210093696,B0 - sqrt(3)*sqrt(Abs(s)) ; B1 + B2*i + B2*r,-sqrt(3)*sqrt(Abs(s)) + 2.21644783562586 ; -0.531865928156747*i - 0.531865928156747*r + 1.40755961134852
1932,0.18947496381564716,B0 + s ; B1 + B2*i,s - 0.720173925235697 ; 0.00517114242375093 - 0.0076015466274783*i
1933,0.18947496337543618,B0 + s ; B1 + B2*r,s - 0.722134898561087 ; 0.0076018931741536*r + 0.00305888588383232
1934,0.18947496030413385,B0 + B1*i ; B2 - r,0.00758674250064033*i - 0.0051686933941926 ; -r - 0.25982841140666
1935,0.18947484654294863,B0 + B1*s ; B2 - r,0.00440698343506009 - 0.00761505564582971*s ; -r - 0.257742578176044
1936,0.18911596380495324,B0 + B1*sqrt(Abs(s)) - s ; i,-s - 9.64912799878017*sqrt(Abs(s)) + 10.9285546443279 ; i
1937,0.18827098141350393,B0*i + B1*i*s + B1*s ; B2*r + B2*sqrt(Abs(i)) + r**2 + r*sqrt(Abs(i)),0.00432035018935183*i*s - 0.0655145641357904*i + 0.00432035018935183*s ; r**2 + r*sqrt(Abs(i)) - 0.0168383123014854*r - 0.0168383123014854*sqrt(Abs(i))
1938,0.18821242539498345,B0*sqrt(Abs(s)) ; B1 - r + sqrt(Abs(r)),-0.0038802536943338*sqrt(Abs(s)) ; -r + sqrt(Abs(r)) - 0.784152950818569
1939,0.188072892848991,B0*i ; -i*r + i*sqrt(Abs(B1 + r)),-0.411288189183654*i ; -i*r + i*sqrt(Abs(r + 10.3446596480568))
