rank,reward,equations,equations_with_constants
3948,0.027509127753865645,B0 + B1*Abs(i)**(3/2) - i ; B2*r - i*r + Abs(r)**(9/4),-i + 1.18596819719288*Abs(i)**(3/2) + 0.072816536175617 ; -i*r + 0.00167211127289839*r + Abs(r)**(9/4)
3949,0.027502786120933303,B0*i**2 + i*s ; B1*r - i*r + 2*r**2,-6.93860268531112*i**2 + i*s ; -i*r + 2*r**2 + 18.6741281568327*r
3950,0.027493862890029523,B0*s - i*s + Abs(s)**(3/2) ; B1*sqrt(Abs(i))*Abs(r)**(1/4),-i*s - 0.812913546727125*s + Abs(s)**(3/2) ; 0.236878604426836*sqrt(Abs(i))*Abs(r)**(1/4)
3951,0.027485562947291292,B0 + B1*s + B2*s**2 + B3*i*s ; B4 + i,0.409682958998144*i*s - 0.284604437011988*s**2 + 2.28669103566803*s - 0.1795489981242 ; i - 0.127620400651194
3952,0.027474643204030487,-i*s + i*sqrt(Abs(i*s**2 + s**2)) ; B0 + i,-i*s + i*sqrt(Abs(i*s**2 + s**2)) ; i - 0.121010990638694
3953,0.027474097812610412,B0 + s*sqrt(Abs(B1 + i)) ; B2*r + i*r**2 - r*Abs(i)**(3/2),s*sqrt(Abs(i + 0.654453339630797)) - 0.771940555975792 ; i*r**2 - r*Abs(i)**(3/2) + 0.00429196573811528*r
3954,0.027471412367163224,B0*s - i*s + s**2 ; B1*sqrt(Abs(i))*sqrt(Abs(r)),-i*s + s**2 - 0.753584516828957*s ; 0.00231297804572015*sqrt(Abs(i))*sqrt(Abs(r))
3955,0.027471403915395445,B0*s - 2*i*s ; B1*i*r,-2*i*s + 0.246345021661019*s ; 0.171591094285787*i*r
3956,0.027468657517415243,B0 + i + s ; B1*i*r + i - r**2,i + s - 0.844769508876453 ; -5.18477162179296*i*r + i - r**2
3957,0.02746088520531504,i**3*Abs(s)**(1/4) - i**3 ; B0 + B1*i + B2*r,i**3*Abs(s)**(1/4) - i**3 ; 0.175995967154217*i - 0.205144022749871*r - 0.0443650994262623
3958,0.027448720430228214,B0 + B1*sqrt(Abs(s)) + i ; B2*r + B3*r**2 + B4*i*r,i + 6.53261319337897*sqrt(Abs(s)) - 6.23235067231833 ; 0.0208784716607294*i*r + 0.00283485154477371*r**2 + 9.29032460563796*r
3959,0.02744512001500218,B0*i + B1*i**2 + B2*i*s + s ; B3 + i - r + sqrt(Abs(B4 + i)),-2.06530753774478*i**2 - 5.66196164476325*i*s + 0.231866581696358*i + s ; i - r + sqrt(Abs(i + 164.303196687124)) - 12.0898291088504
3960,0.02742711395483432,B0 - i ; B1*i**2 - i**2*sqrt(Abs(r)),0.12378060265088 - i ; -i**2*sqrt(Abs(r)) + 0.0256357808977036*i**2
3961,0.02742449650601272,B0 + s ; B1*i*sqrt(Abs(r)) + B2*i*r,s - 0.876260726143475 ; 4.5421058364604*i*r + 0.000163667056399169*i*sqrt(Abs(r))
3962,0.027424296896312247,s ; B0 + B1*sqrt(Abs(i)) + i,s ; i + 1.11040268080716*sqrt(Abs(i)) - 0.51941293441239
3963,0.02742422470007432,B0*s**2 + B1*i*s**2 - s ; i**2*r**3 - i**2*r,0.816541988550264*i*s**2 + 1.04143935115815*s**2 - s ; i**2*r**3 - i**2*r
